IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
1478338,Bridesmaids,2011,6.8,http://www.imdb.com/title/tt1478338/,3,3,76,125,Bridesmaids,Bridesmaids.2011.BluRay.576p.H264.mp4
1345836,The Dark Knight Rises,2012,8.4,http://www.imdb.com/title/tt1345836/,1,4,90,164,The Dark Knight Rises,The.Dark.Knight.Rises.2012.BluRay.720p.H264.mp4
1981677,Pitch Perfect,2012,7.2,http://www.imdb.com/title/tt1981677/,3,4,83,112,Pitch Perfect,Pitch.Perfect.2012.BluRay.720p.H264.mp4
1454468,Gravity,2013,7.8,http://www.imdb.com/title/tt1454468/,0,4,80,91,Gravity,Gravity.2013.1080p.BluRay.H264.mp4
2582802,Whiplash,2014,8.5,http://www.imdb.com/title/tt2582802/,1,4,94,107,Whiplash,Whiplash.2014.FR.BDRip.XviD.AC3.boheme.avi
2278388,Grand Budapest Hotel,2014,8.1,http://www.imdb.com/title/tt2278388/,1,4,89,99,The Grand Budapest Hotel,Grand Budapest Hotel.mkv
1895587,Spotlight,2015,8.1,http://www.imdb.com/title/tt1895587/,1,,,128,Spotlight,Spotlight.2015.BluRay.480p.H264.mp4
2322441,Fifty Shades of Grey,2015,4.1,http://www.imdb.com/title/tt2322441/,3,2,41,125,Fifty Shades of Grey,Fifty.Shades.of.Grey.2015.BDRip.x264-DJ.mkv
1392190,Mad Max Fury Road,2015,8.1,http://www.imdb.com/title/tt1392190/,3,4,,120,Mad Max: Fury Road,Mad.Max.Fury.Road.2015.BluRay.720p.H264.mp4
810819,The Danish Girl,2015,7.1,http://www.imdb.com/title/tt0810819/,3,4,80,119,The Danish Girl,The.Danish.Girl.2015.HDRip.XviD.AC3-EVO.avi
5074352,Dangal,2016,,http://www.imdb.com/title/tt5074352/,,,,,,Dangal.2016.BRRip.HebSubs.XviD.AC3-Uploadil.avi
4975722,Moonlight,2016,8.1,http://www.imdb.com/title/tt4975722/,1,,,111,Moonlight,Moonlight.2016.DVDScr.HQ.Hive-CM8.mp4
3173594,Hacker,2016,,http://www.imdb.com/title/tt3173594/,,,,,,Hacker.2016.BluRay.720p.H264.mp4
1608290,Zoolander 2,2016,,http://www.imdb.com/title/tt1608290/,,,,,,Zoolander.2.2016.WEB-DL.720p.H264.mp4
