IMDB_ID,name,year,IMDB_rating,IMDB_url,BECHDEL_rating,RT_rating,RT_USER_rating,runtime,checktitle,source
51201,Witness for the Prosecution,1957,8.4,http://www.imdb.com/title/tt0051201/,1,4,95,116,Witness for the Prosecution,Witness.for.the.Prosecution.1957.DVDRip.x264-DJ.mkv
50083,12 Angry Men,1957,8.9,http://www.imdb.com/title/tt0050083/,0,4,97,96,12 Angry Men,12.Angry.Men.1957.DVDRip.x264-DJ.mkv
52311,Touch of Evil,1958,8.1,http://www.imdb.com/title/tt0052311/,1,3,67,95,Touch of Evil,Touch.of.Evil.1958.ReEdited.BluRay.720p.H264.mp4
52357,Vertigo,1958,8.4,http://www.imdb.com/title/tt0052357/,1,4,93,128,Vertigo,Vertigo.1958.HDTV.720p.H264.mp4
53125,North by Northwest,1959,8.4,http://www.imdb.com/title/tt0053125/,1,4,94,136,North by Northwest,North.by.Northwest.1959.BDRip.x264-DJ.mkv
54215,Psycho,1960,8.5,http://www.imdb.com/title/tt0054215/,1,3,94,109,Psycho,Psycho.1960.BluRay.720p.H264.mp4
55614,West Side Story,1961,7.6,http://www.imdb.com/title/tt0055614/,3,3,84,153,West Side Story,West.Side.Story.1961.BluRay.720p.H264.mp4
55277,The Parent Trap 61,1961,7.1,http://www.imdb.com/title/tt0055277/,3,3,74,129,The Parent Trap,The.Parent.Trap.1961.WEB-DL.720p.H264.mp4
56592,To Kill a Mockingbird,1962,8.3,http://www.imdb.com/title/tt0056592/,3,3,93,129,To Kill a Mockingbird,To.Kill.a.Mockingbird.1962.BluRay.576p.H264.mp4
57012,Dr Strangelove,1964,8.5,http://www.imdb.com/title/tt0057012/,0,4,94,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr.Strangelove.1964.BDRip.x264-DJ.mkv
60196,The Good The Bad And The Ugly,1966,8.9,http://www.imdb.com/title/tt0060196/,0,4,97,178,"The Good, the Bad and the Ugly",The.Good.The.Bad.And.The.Ugly.1966.EXTENDED.BluRay.720p.H264.mp4
64116,Once Upon A Time In The West,1968,8.5,http://www.imdb.com/title/tt0064116/,1,4,95,164,Once Upon a Time in the West,Once.Upon.A.Time.In.The.West.1968.720p.BRRip.x264-x0r.mkv
63522,Rosemarys Baby,1968,8,http://www.imdb.com/title/tt0063522/,3,3,87,137,Rosemary's Baby,Rosemary's.Baby.1968.DVDRip.x264-DJ.mkv
62622,2001 A Space Odyssey,1968,8.3,http://www.imdb.com/title/tt0062622/,0,3,89,149,2001: A Space Odyssey,2001.A.Space.Odyssey.1968.DVDRip.x264-DJ.mkv
66921,A Clockwork Orange,1971,8.3,http://www.imdb.com/title/tt0066921/,3,4,93,136,A Clockwork Orange,A.Clockwork.Orange.1971.720p.BluRay.DTS.x264-CtrlHD.mkv
68646,The Godfather,1972,9.2,http://www.imdb.com/title/tt0068646/,2,4,98,175,The Godfather,The.Godfather.1972.720p.bluray.x264.mkv
70735,The Sting,1973,8.3,http://www.imdb.com/title/tt0070735/,1,4,95,129,The Sting,The.Sting.1973.BluRay.720p.H264.mp4
71562,The Godfather II,1974,9.1,http://www.imdb.com/title/tt0071562/,2,4,97,200,The Godfather: Part II,The.Godfather.Part.II.1974.720p.BluRay.x264.mkv
73486,One Flew Over the Cuckoos Nest,1975,8.7,http://www.imdb.com/title/tt0073486/,2,4,96,133,One Flew Over the Cuckoo's Nest,One.Flew.Over.the.Cuckoos.Nest.1975.DVDRip.x264-DJ.mkv
75314,Taxi Driver,1976,8.3,http://www.imdb.com/title/tt0075314/,1,4,93,114,Taxi Driver,Taxi.Driver.1976.REMASTERED.BluRay.720p.H264.mp4
76759,Star Wars Episode IV A New Hope,1977,8.7,http://www.imdb.com/title/tt0076759/,1,4,96,121,Star Wars: Episode IV - A New Hope,Star.Wars.Episode.IV.A.New.Hope.1977.BluRay.720p.H264.mp4
78788,Apocalypse Now,1979,8.5,http://www.imdb.com/title/tt0078788/,0,4,94,153,Apocalypse Now,Apocalypse.Now.1979.BDRip.x264-DJ.mkv
78748,Alien,1979,8.5,http://www.imdb.com/title/tt0078748/,3,3,94,117,Alien,Alien.1979.BDRip.x264-DJ.mkv
81505,The Shining,1980,8.4,http://www.imdb.com/title/tt0081505/,2,4,93,146,The Shining,The.Shining.1980.HDTV.480p.H264.mp4
80684,Star Wars Episode V The Empire Strikes Back,1980,8.8,http://www.imdb.com/title/tt0080684/,0,4,97,124,Star Wars: Episode V - The Empire Strikes Back,Star.Wars.Episode.V.The.Empire.Strikes.Back.1980.BluRay.720p.H264.mp4
82971,Raiders of the Lost Ark,1981,8.5,http://www.imdb.com/title/tt0082971/,0,4,96,115,Raiders of the Lost Ark,01.Raiders.of.the.Lost.Ark.1981.HDTV.720p.H264.mp4
82096,Das Boot,1981,8.4,http://www.imdb.com/title/tt0082096/,0,4,96,149,Das Boot,Das.Boot.1981.Directors.Cut.German.DL.DVDRip.x264.mkv
83658,Blade Runner,1982,8.2,http://www.imdb.com/title/tt0083658/,1,4,91,117,Blade Runner,Blade.Runner.1982.The.Final.Cut.720p.iNTERNAL.BluRay.x264-MOOVEE.mkv
83866,ET,1982,7.9,http://www.imdb.com/title/tt0083866/,3,3,71,115,E.T. the Extra-Terrestrial,E.T.The.Extra-Terrestrial.1982.20th.Anniversary.HDTV.576p.H264.mp4
